Disease,Biosample_Type,Gene
Alzheimers_Disease,Brain_Tissue,APP
Alzheimers_Disease,Brain_Tissue,PSEN1
Alzheimers_Disease,Brain_Tissue,PSEN2
Alzheimers_Disease,Brain_Tissue,BACE1
Alzheimers_Disease,Brain_Tissue,BACE2
Alzheimers_Disease,Brain_Tissue,APH1A
Alzheimers_Disease,Brain_Tissue,APH1B
Alzheimers_Disease,Brain_Tissue,PSENEN
Alzheimers_Disease,Brain_Tissue,NCSTN
Alzheimers_Disease,Brain_Tissue,ADAM10
Alzheimers_Disease,Brain_Tissue,ADAM17
Alzheimers_Disease,Brain_Tissue,ADAM9
Alzheimers_Disease,Brain_Tissue,APOE
Alzheimers_Disease,Brain_Tissue,APOC1
Alzheimers_Disease,Brain_Tissue,APOC2
Alzheimers_Disease,Brain_Tissue,APOC3
Alzheimers_Disease,Brain_Tissue,APOA1
Alzheimers_Disease,Brain_Tissue,APOB
Alzheimers_Disease,Brain_Tissue,CLU
Alzheimers_Disease,Brain_Tissue,ABCA1
Alzheimers_Disease,Brain_Tissue,ABCA7
Alzheimers_Disease,Brain_Tissue,ABCG1
Alzheimers_Disease,Brain_Tissue,LDLR
Alzheimers_Disease,Brain_Tissue,LRP1
Alzheimers_Disease,Brain_Tissue,LRP2
Alzheimers_Disease,Brain_Tissue,LRP8
Alzheimers_Disease,Brain_Tissue,SORL1
Alzheimers_Disease,Brain_Tissue,SORT1
Alzheimers_Disease,Brain_Tissue,SORCS1
Alzheimers_Disease,Brain_Tissue,SORCS3
Alzheimers_Disease,Brain_Tissue,PICALM
Alzheimers_Disease,Brain_Tissue,MAPT
Alzheimers_Disease,Brain_Tissue,GSK3B
Alzheimers_Disease,Brain_Tissue,GSK3A
Alzheimers_Disease,Brain_Tissue,CDK5
Alzheimers_Disease,Brain_Tissue,CDK5R1
Alzheimers_Disease,Brain_Tissue,PPP2CA
Alzheimers_Disease,Brain_Tissue,PPP2R1A
Alzheimers_Disease,Brain_Tissue,FYN
Alzheimers_Disease,Brain_Tissue,DYRK1A
Alzheimers_Disease,Brain_Tissue,CAMK2A
Alzheimers_Disease,Brain_Tissue,MARK4
Alzheimers_Disease,Brain_Tissue,TREM2
Alzheimers_Disease,Brain_Tissue,TREM1
Alzheimers_Disease,Brain_Tissue,TYROBP
Alzheimers_Disease,Brain_Tissue,CD33
Alzheimers_Disease,Brain_Tissue,MS4A4A
Alzheimers_Disease,Brain_Tissue,MS4A6A
Alzheimers_Disease,Brain_Tissue,MS4A2
Alzheimers_Disease,Brain_Tissue,MS4A7
Alzheimers_Disease,Brain_Tissue,CR1
Alzheimers_Disease,Brain_Tissue,C1QA
Alzheimers_Disease,Brain_Tissue,C1QB
Alzheimers_Disease,Brain_Tissue,C1QC
Alzheimers_Disease,Brain_Tissue,C3
Alzheimers_Disease,Brain_Tissue,C4A
Alzheimers_Disease,Brain_Tissue,C5
Alzheimers_Disease,Brain_Tissue,C9
Alzheimers_Disease,Brain_Tissue,ITGAM
Alzheimers_Disease,Brain_Tissue,ITGAX
Alzheimers_Disease,Brain_Tissue,CX3CR1
Alzheimers_Disease,Brain_Tissue,CX3CL1
Alzheimers_Disease,Brain_Tissue,P2RY12
Alzheimers_Disease,Brain_Tissue,TMEM119
Alzheimers_Disease,Brain_Tissue,GRN
Alzheimers_Disease,Brain_Tissue,TMEM106B
Alzheimers_Disease,Brain_Tissue,CTSB
Alzheimers_Disease,Brain_Tissue,CTSD
Alzheimers_Disease,Brain_Tissue,CTSL
Alzheimers_Disease,Brain_Tissue,BIN1
Alzheimers_Disease,Brain_Tissue,CD2AP
Alzheimers_Disease,Brain_Tissue,ATG7
Alzheimers_Disease,Brain_Tissue,BECN1
Alzheimers_Disease,Brain_Tissue,SQSTM1
Alzheimers_Disease,Brain_Tissue,UBQLN1
Alzheimers_Disease,Brain_Tissue,UBQLN2
Alzheimers_Disease,Brain_Tissue,PRKN
Alzheimers_Disease,Brain_Tissue,PINK1
Alzheimers_Disease,Brain_Tissue,VPS35
Alzheimers_Disease,Brain_Tissue,VPS26A
Alzheimers_Disease,Brain_Tissue,BDNF
