Disease,Biosample_Type,Gene
Chronic_Kidney_Disease,Kidney_Tissue,NPHS1
Chronic_Kidney_Disease,Kidney_Tissue,NPHS2
Chronic_Kidney_Disease,Kidney_Tissue,WT1
Chronic_Kidney_Disease,Kidney_Tissue,ACTN4
Chronic_Kidney_Disease,Kidney_Tissue,TRPC6
Chronic_Kidney_Disease,Kidney_Tissue,INF2
Chronic_Kidney_Disease,Kidney_Tissue,CD2AP
Chronic_Kidney_Disease,Kidney_Tissue,MYO1E
Chronic_Kidney_Disease,Kidney_Tissue,PLCE1
Chronic_Kidney_Disease,Kidney_Tissue,LMX1B
Chronic_Kidney_Disease,Kidney_Tissue,PTPRO
Chronic_Kidney_Disease,Kidney_Tissue,ANLN
Chronic_Kidney_Disease,Kidney_Tissue,MAGI2
Chronic_Kidney_Disease,Kidney_Tissue,SYNPO
Chronic_Kidney_Disease,Kidney_Tissue,PODXL
Chronic_Kidney_Disease,Kidney_Tissue,COL4A3
Chronic_Kidney_Disease,Kidney_Tissue,COL4A4
Chronic_Kidney_Disease,Kidney_Tissue,COL4A5
Chronic_Kidney_Disease,Kidney_Tissue,PKD1
Chronic_Kidney_Disease,Kidney_Tissue,PKD2
Chronic_Kidney_Disease,Kidney_Tissue,PKHD1
Chronic_Kidney_Disease,Kidney_Tissue,NPHP1
Chronic_Kidney_Disease,Kidney_Tissue,NPHP3
Chronic_Kidney_Disease,Kidney_Tissue,BBS1
Chronic_Kidney_Disease,Kidney_Tissue,BBS10
Chronic_Kidney_Disease,Kidney_Tissue,TMEM67
Chronic_Kidney_Disease,Kidney_Tissue,CEP290
Chronic_Kidney_Disease,Kidney_Tissue,SLC12A1
Chronic_Kidney_Disease,Kidney_Tissue,SLC12A3
Chronic_Kidney_Disease,Kidney_Tissue,KCNJ1
Chronic_Kidney_Disease,Kidney_Tissue,CLCNKB
Chronic_Kidney_Disease,Kidney_Tissue,CASR
Chronic_Kidney_Disease,Kidney_Tissue,SLC34A1
