Disease,Biosample_Type,Gene
Coronary_Artery_Disease,Whole_Blood,CDKN2A
Coronary_Artery_Disease,Whole_Blood,CDKN2B
Coronary_Artery_Disease,Whole_Blood,CDKN2B-AS1
Coronary_Artery_Disease,Whole_Blood,MTAP
Coronary_Artery_Disease,Whole_Blood,LDLR
Coronary_Artery_Disease,Whole_Blood,APOB
Coronary_Artery_Disease,Whole_Blood,PCSK9
Coronary_Artery_Disease,Whole_Blood,APOE
Coronary_Artery_Disease,Whole_Blood,LDLRAP1
Coronary_Artery_Disease,Whole_Blood,APOC1
Coronary_Artery_Disease,Whole_Blood,APOC2
Coronary_Artery_Disease,Whole_Blood,APOC3
Coronary_Artery_Disease,Whole_Blood,APOC4
Coronary_Artery_Disease,Whole_Blood,APOA1
Coronary_Artery_Disease,Whole_Blood,APOA2
Coronary_Artery_Disease,Whole_Blood,APOA4
Coronary_Artery_Disease,Whole_Blood,APOA5
Coronary_Artery_Disease,Whole_Blood,ABCG5
Coronary_Artery_Disease,Whole_Blood,ABCG8
Coronary_Artery_Disease,Whole_Blood,MYLIP
Coronary_Artery_Disease,Whole_Blood,SREBF1
Coronary_Artery_Disease,Whole_Blood,SREBF2
Coronary_Artery_Disease,Whole_Blood,HMGCR
Coronary_Artery_Disease,Whole_Blood,NPC1L1
Coronary_Artery_Disease,Whole_Blood,MTTP
Coronary_Artery_Disease,Whole_Blood,LPL
Coronary_Artery_Disease,Whole_Blood,ANGPTL3
Coronary_Artery_Disease,Whole_Blood,ANGPTL4
Coronary_Artery_Disease,Whole_Blood,ANGPTL8
Coronary_Artery_Disease,Whole_Blood,GPIHBP1
Coronary_Artery_Disease,Whole_Blood,LMF1
Coronary_Artery_Disease,Whole_Blood,TRIB2
Coronary_Artery_Disease,Whole_Blood,LPA
Coronary_Artery_Disease,Whole_Blood,PLG
Coronary_Artery_Disease,Whole_Blood,CETP
Coronary_Artery_Disease,Whole_Blood,LCAT
Coronary_Artery_Disease,Whole_Blood,LIPC
Coronary_Artery_Disease,Whole_Blood,LIPG
Coronary_Artery_Disease,Whole_Blood,ABCA1
Coronary_Artery_Disease,Whole_Blood,SCARB1
Coronary_Artery_Disease,Whole_Blood,ACE
Coronary_Artery_Disease,Whole_Blood,AGT
Coronary_Artery_Disease,Whole_Blood,AGTR1
Coronary_Artery_Disease,Whole_Blood,REN
Coronary_Artery_Disease,Whole_Blood,NOS3
Coronary_Artery_Disease,Whole_Blood,SORT1
Coronary_Artery_Disease,Whole_Blood,PHACTR1
Coronary_Artery_Disease,Whole_Blood,CXCL12
Coronary_Artery_Disease,Whole_Blood,MIA3
Coronary_Artery_Disease,Whole_Blood,WDR12
Coronary_Artery_Disease,Whole_Blood,ZC3HC1
Coronary_Artery_Disease,Whole_Blood,ADAMTS7
Coronary_Artery_Disease,Whole_Blood,SH2B3
Coronary_Artery_Disease,Whole_Blood,SMAD3
Coronary_Artery_Disease,Whole_Blood,MRAS
Coronary_Artery_Disease,Whole_Blood,LIPA
Coronary_Artery_Disease,Whole_Blood,PLPP3
Coronary_Artery_Disease,Whole_Blood,ABO
Coronary_Artery_Disease,Whole_Blood,TCF21
Coronary_Artery_Disease,Whole_Blood,GUCY1A3
Coronary_Artery_Disease,Whole_Blood,EDNRA
Coronary_Artery_Disease,Whole_Blood,FN1
Coronary_Artery_Disease,Whole_Blood,FURIN
Coronary_Artery_Disease,Whole_Blood,F2
Coronary_Artery_Disease,Whole_Blood,F5
Coronary_Artery_Disease,Whole_Blood,F7
Coronary_Artery_Disease,Whole_Blood,F10
Coronary_Artery_Disease,Whole_Blood,F11
Coronary_Artery_Disease,Whole_Blood,FGA
Coronary_Artery_Disease,Whole_Blood,FGB
Coronary_Artery_Disease,Whole_Blood,FGG
Coronary_Artery_Disease,Whole_Blood,VWF
Coronary_Artery_Disease,Whole_Blood,SERPINE1
Coronary_Artery_Disease,Whole_Blood,PROC
Coronary_Artery_Disease,Whole_Blood,PROS1
Coronary_Artery_Disease,Whole_Blood,ITGA2B
Coronary_Artery_Disease,Whole_Blood,ITGB3
Coronary_Artery_Disease,Whole_Blood,IL6
Coronary_Artery_Disease,Whole_Blood,IL6R
Coronary_Artery_Disease,Whole_Blood,IL1B
Coronary_Artery_Disease,Whole_Blood,IL1A
Coronary_Artery_Disease,Whole_Blood,IL1RN
Coronary_Artery_Disease,Whole_Blood,NLRP3
Coronary_Artery_Disease,Whole_Blood,CRP
Coronary_Artery_Disease,Whole_Blood,TNF
Coronary_Artery_Disease,Whole_Blood,COL4A1
Coronary_Artery_Disease,Whole_Blood,COL4A2
Coronary_Artery_Disease,Whole_Blood,HDAC9
Coronary_Artery_Disease,Whole_Blood,GUCY1B3
Coronary_Artery_Disease,Whole_Blood,PRKG1
Coronary_Artery_Disease,Whole_Blood,LPAL2
Coronary_Artery_Disease,Whole_Blood,BCAP29
Coronary_Artery_Disease,Whole_Blood,BMP1
